source_id,ra,dec,parallax,parallax_error,pmra,pmra_error,pmdec,pmdec_error,ruwe,phot_g_mean_flux_over_error,phot_g_mean_mag,phot_bp_mean_flux_over_error,phot_rp_mean_flux_over_error,bp_rp,radial_velocity,phot_variable_flag,non_single_star,has_xp_continuous,has_xp_sampled,has_rvs,has_epoch_photometry,has_epoch_rv,has_mcmc_gspphot,has_mcmc_msc,teff_gspphot,logg_gspphot,mh_gspphot,distance_gspphot,azero_gspphot,ag_gspphot,ebpminrp_gspphot
4041577935138202624,267.7319796706059,-34.62795303124775,-1.3652795164130256,1.3362507,-3.500081246084776,1.5227334,-4.606146260291777,1.118271,1.1027489,93.13475,19.868177,,,,,"NOT_AVAILABLE",0,false,false,false,false,false,false,false,,,,,,,
4041577900713196032,267.72606349797314,-34.630071415141195,0.07725507518939095,0.039514333,-2.87174371201171,0.042712692,-5.393505391801339,0.026164291,0.9057479,2414.0828,15.628306,143.4492,256.66687,2.2518635,,"NOT_AVAILABLE",0,true,false,false,false,false,true,true,4605.0537,2.5242,0.5398,5584.119,2.6766,1.9051,1.0013
4041577900713197056,267.7292960531312,-34.62986412655797,1.2853996738165216,0.8094587,3.248437410214824,0.7973013,-4.992595971531083,0.5336275,19.560488,226.3301,16.635069,57.264412,226.93468,1.7531023,,"NOT_AVAILABLE",0,true,false,false,false,false,false,true,,,,,,,
4041577900713206400,267.7251908212684,-34.62835582397406,-0.7126770983922387,0.21398301,-5.6093010873966325,0.22703305,-12.051379465983011,0.14627965,1.4401587,278.66,18.219707,3.8851826,4.1645513,1.7612438,,"NOT_AVAILABLE",0,false,false,false,false,false,false,true,,,,,,,
4041577900713220608,267.72586449618353,-34.6247519875823,0.20234474786448328,0.04929682,-5.73274475023977,0.05165251,-2.570769575024598,0.032548968,1.0226662,1934.5646,16.061676,150.86435,212.80083,1.8604612,,"NOT_AVAILABLE",0,true,false,false,false,false,true,true,5122.1597,3.4965,-0.4578,1875.1664,2.1627,1.6347,0.891
4041577900722442752,267.7243451681855,-34.62853864595201,0.2334025871116309,0.060654704,-0.33630295154308787,0.06470299,-4.87480915236981,0.039673075,1.063079,1233.0553,16.418966,78.753914,128.25089,1.9740362,,"NOT_AVAILABLE",0,true,false,false,false,false,false,true,5051.8584,3.2919,-0.354,2757.126,2.4018,1.7931,0.975
4041577900738174848,267.72201880287275,-34.63085779887728,-0.157583430949429,0.122674026,-2.158334559762767,0.13655925,-3.43413853814386,0.087626725,1.351414,854.44824,17.415226,35.18995,79.03086,2.0734406,,"NOT_AVAILABLE",0,true,false,false,false,false,true,true,4498.61,4.4426,0.2834,972.4662,1.9329,1.3858,0.7372
4041577900738192256,267.7254411279035,-34.62986312604916,-0.30311286271390253,0.1243856,0.17716449417272676,0.14111711,-5.7373196883509365,0.089698724,1.3768939,545.3431,17.574476,,,,,"NOT_AVAILABLE",0,false,false,false,false,false,false,false,,,,,,,
4041577900738207616,267.72604239690804,-34.63058140111069,0.9349727613036702,0.43267086,1.357041685488331,0.45975888,-3.585523452798035,0.25871882,1.2194269,271.95807,19.218369,,,,,"NOT_AVAILABLE",0,false,false,false,false,false,false,false,,,,,,,
4041577900778225024,267.7292227734941,-34.62953430990033,-1.456668582266711,0.38181704,-4.425276644475995,0.49070886,-3.0005849907995454,0.31058607,1.998078,247.06165,17.845663,,,,,"NOT_AVAILABLE",0,false,false,false,false,false,false,true,,,,,,,
4041577900778255360,267.7216737345517,-34.629292547291726,-0.5185833665855576,0.33721203,0.6921557829101153,0.3640867,-3.369081978809826,0.2393941,1.2827756,128.89034,19.011185,,,,,"NOT_AVAILABLE",0,false,false,false,false,false,false,false,,,,,,,
4041577900778256512,267.7238454169993,-34.629215226784424,-0.03227330283384527,0.3607069,-0.7594500350619103,0.35005885,-2.620083419666189,0.2139557,1.1335574,400.64383,18.8935,,,,,"NOT_AVAILABLE",0,false,false,false,false,false,false,false,,,,,,,
