# 
# Subset of stars selected as members
# M1: primary mass
# M2: secondary mass (if binary system)
# P_binar: binary probability
# 
ID Mag Col M1 M1_std M2 M2_std P_binar
15166 10.23057 0.72924 1.04202 0.02423 0.61616 0.23555 0.49
7910 13.86954 0.99984 1.04237 0.02458 0.59989 0.24095 0.49
21398 14.89035 1.12503 1.03940 0.02468 0.63212 0.24826 0.50
23016 14.68779 1.12006 1.04020 0.02461 0.62472 0.24101 0.50
14512 15.14932 0.99975 1.03820 0.02462 0.63138 0.24786 0.50
8291 15.01698 1.09485 1.03876 0.02461 0.62694 0.25291 0.50
15290 18.46088 1.06686 0.91529 0.06547 0.44470 0.19924 0.37
24350 19.62997 1.05510 0.79399 0.06185 0.38129 0.16351 0.37
21164 15.64162 1.12556 1.03566 0.02439 0.63008 0.23564 0.50
22623 17.52938 1.11017 0.99317 0.05003 0.60615 0.25628 0.54
6056 17.64174 1.10429 0.98611 0.05308 0.60920 0.25446 0.52
7709 17.80932 1.11328 0.97464 0.05766 0.56620 0.24769 0.52
6156 18.28518 1.02742 0.93285 0.06437 0.44047 0.21640 0.41
15339 18.52671 1.05838 0.90850 0.06563 0.43538 0.19153 0.37
20845 18.54672 1.11073 0.90626 0.06607 0.44786 0.19732 0.38
7494 18.56043 1.05179 0.90481 0.06578 0.41750 0.18801 0.37
10425 10.10811 0.92422 1.04199 0.02423 0.61807 0.23597 0.49
6049 18.04009 1.11402 0.95584 0.06236 0.52374 0.23532 0.49
7539 18.06591 1.11655 0.95339 0.06248 0.51558 0.23065 0.49
15643 18.19473 1.11758 0.94180 0.06449 0.49060 0.22012 0.46
15697 18.20178 1.12005 0.94117 0.06459 0.48694 0.21898 0.45
23789 18.21414 1.11029 0.94002 0.06471 0.47532 0.21801 0.45
23287 18.22841 1.09269 0.93851 0.06469 0.46437 0.21644 0.43
21100 18.43786 1.08958 0.91759 0.06541 0.45124 0.20325 0.38
20987 17.96577 1.12021 0.96238 0.06121 0.53133 0.23568 0.51
22019 19.98770 0.99700 0.76080 0.05856 0.37185 0.15943 0.38
22747 20.01790 1.00845 0.75776 0.05826 0.36986 0.16089 0.39
21050 18.13198 1.09403 0.94728 0.06323 0.49406 0.22272 0.46
5860 18.44707 1.08792 0.91666 0.06549 0.45032 0.19733 0.37
20730 19.10185 0.99268 0.84882 0.06430 0.38696 0.16930 0.38
27350 19.72130 1.06159 0.78480 0.06145 0.39302 0.16632 0.38
14542 18.02055 1.09137 0.95723 0.06163 0.51950 0.23432 0.49
61960 18.17775 1.15613 0.94365 0.06471 0.50695 0.21976 0.50
7264 19.52178 1.00260 0.80494 0.06240 0.38147 0.16739 0.38
6868 10.77707 0.62113 1.04204 0.02427 0.61349 0.23331 0.49
60890 19.47672 1.15238 0.80958 0.06305 0.41025 0.17458 0.37
21520 18.15537 1.14763 0.94567 0.06428 0.51551 0.22333 0.49
14586 18.40112 1.17029 0.92140 0.06586 0.47806 0.20512 0.44
23423 18.44675 1.06442 0.91683 0.06525 0.44659 0.20031 0.37
60843 18.70733 1.02400 0.89002 0.06524 0.41214 0.19006 0.38
24095 18.94683 1.14404 0.86471 0.06579 0.42645 0.18480 0.37
6731 17.66897 1.07661 0.98401 0.05371 0.59096 0.26091 0.51
7435 20.18372 0.96416 0.74482 0.05580 0.36117 0.15715 0.39
23623 17.82745 1.19091 0.97381 0.05881 0.61403 0.23409 0.59
5867 18.62087 1.04476 0.89878 0.06559 0.41590 0.18891 0.37
23710 19.75765 0.92431 0.78092 0.06089 0.38344 0.16487 0.40
8641 20.10934 1.17037 0.74870 0.05726 0.37121 0.16597 0.37
21855 18.41330 1.01383 0.92020 0.06481 0.42296 0.19423 0.39
5508 19.52056 1.20001 0.80498 0.06296 0.40337 0.17334 0.38
61913 18.54595 1.17928 0.90639 0.06618 0.47712 0.20527 0.43
5931 18.55790 0.99416 0.90515 0.06540 0.41865 0.18982 0.39
7550 18.93739 1.20562 0.86568 0.06612 0.44690 0.19059 0.41
21429 19.69105 1.17076 0.78785 0.06164 0.39982 0.17013 0.37
23856 19.85963 1.04557 0.77114 0.06007 0.38172 0.16872 0.37
