EDR3Name RA DEC Plx e_Plx pmRA e_pmRA pmDE e_pmDE Gmag BP-RP e_Gmag e_BP-RP sel memb_probs
1 272.6354082 -31.82976421 0.222891429 0.33412534 -1.884867968 0.38562533 -6.477728145 0.27939612 19.189074 1.376936 0.003555645 0.011122775 -1 0.0
2 272.6348991 -31.82977665 -0.307973003 0.2604157 -3.957799382 0.31202495 -7.697821744 0.22985107 18.865572 1.5964546 0.003017625 0.044644371 -1 0.0
3 272.6319402 -31.83214087 -0.339182293 0.784501 -0.045801645 0.6591158 -7.104871202 0.49261773 19.60986 1.9106026 0.005685969 0.0980665 -1 0.0
4 272.633844 -31.83073222 0.152360261 0.5419219 -2.113539123 0.624419 -7.64864592 0.44869527 19.655155 1.3154335 0.006055675 0.060743004 -1 0.0
5 272.6373876 -31.82720614 0.723431099 0.62211657 -2.064540272 0.7466152 -6.510740474 0.5048916 19.615286 1.5110092 0.005711341 0.038321038 -1 0.0
6 272.64923 -31.81670558 0.152074295 0.057602398 -0.877909345 0.06410996 -4.275865687 0.043592382 16.227554 1.600296 0.000665737 0.005398565 -1 0.0
7 272.6489687 -31.81864503 0.141355469 0.07987378 -1.956788983 0.08372488 -2.928896914 0.05856339 16.964735 1.5406494 0.000822186 0.007213241 -1 0.0
8 272.6485049 -31.81987181 -0.007124058 0.13518362 -3.619429071 0.14752147 -0.510343699 0.1073604 17.824087 1.1581554 0.001389623 0.013465364 -1 0.0
9 272.6471212 -31.81908417 -0.42827231 0.24164778 -4.769496965 0.24358144 -1.341050575 0.18138056 18.821644 1.4385281 0.002444423 0.027702293 -1 0.0
10 272.6421961 -31.82198364 -0.466410279 0.33842108 0.078272661 0.31608146 0.893403791 0.2375367 18.081568 1.2129135 0.005630328 0.01020477 -1 0.0
11 272.6388245 -31.82772298 -0.455566905 0.45411003 1.890702265 0.46062005 -0.536359197 0.3323066 18.852993 1.5696621 0.004277771 0.028253833 -1 0.0
12 272.639958 -31.82487152 -0.023333502 0.1921344 1.421978449 0.20892891 -0.519864931 0.14570966 18.230309 1.4505329 0.002585723 0.015767705 -1 0.0
13 272.6390283 -31.82670524 0.674878633 0.8276858 -3.2574345 0.6200379 -6.894768566 0.49284023 19.676653 1.3407173 0.005237902 0.113172255 -1 0.0
14 272.6418383 -31.82405229 0.03629383 0.42053235 -2.757224099 0.4721164 -3.382950608 0.3592586 19.60617 1.218996 0.004115614 0.086634978 -1 0.0
15 272.64518 -31.8196647 0.20595723 0.69879645 -4.59053455 1.1682492 -6.326509189 0.7114081 19.637377 1.4795818 0.0059059 0.237471317 -1 0.0
16 272.6461426 -31.81685106 -4.226716427 0.9721947 5.533921328 1.1243109 1.323442167 0.81348914 19.430439 1.4207554 0.008322731 0.038647194 -1 0.0
17 272.6478669 -31.81751094 -0.088328688 0.5654531 -2.039946366 0.6309503 -4.40906108 0.43049678 19.683676 1.4728432 0.006003317 0.009909463 -1 0.0
18 272.6500745 -31.81818887 -0.061631214 0.3787569 -4.651218326 0.39992514 -3.537850161 0.31811276 19.055199 1.2632828 0.003968422 0.02836477 -1 0.0
19 272.6438069 -31.82015265 -0.032349729 0.5001925 -4.213960595 0.6410291 -7.620791617 0.44827598 19.580606 1.4885464 0.010394154 0.131433823 -1 0.0
