# 
# Subset of stars selected as members
# M1: primary mass
# M2: secondary mass (if binary system)
# P_binar: binary probability
# 
ID Mag Col M1 M1_std M2 M2_std P_binar
5475 14.64154 1.67883 0.82793 0.02164 0.47777 0.17760 0.47
3882 14.26601 1.69737 0.82723 0.02097 0.47237 0.18067 0.48
5115 14.74128 1.80985 0.82894 0.02258 0.47721 0.18370 0.47
4501 15.08357 1.61399 0.82704 0.02168 0.47315 0.18724 0.47
4909 13.91407 1.63348 0.82659 0.02046 0.48235 0.18601 0.48
5029 14.91199 1.66651 0.82784 0.02209 0.47010 0.18465 0.48
4730 15.38378 1.59123 0.82580 0.02125 0.47849 0.19468 0.46
4729 13.16215 2.01781 0.82500 0.01975 0.47619 0.19782 0.46
4823 16.13220 1.54670 0.82345 0.01960 0.48060 0.18834 0.45
5477 12.58220 2.45020 0.82473 0.01947 0.47852 0.19568 0.47
5033 14.75662 1.64894 0.82776 0.02167 0.47462 0.18126 0.47
4442 15.97912 1.12178 0.82458 0.01907 0.48217 0.19556 0.50
4913 13.27452 2.01813 0.82509 0.01982 0.47678 0.19638 0.46
4912 12.80443 2.33974 0.82476 0.01950 0.47884 0.19549 0.47
4497 16.09535 1.56762 0.82350 0.01978 0.47955 0.19114 0.45
5528 16.54698 0.66835 0.82356 0.01876 0.44511 0.18388 0.50
3906 13.28867 1.99150 0.82514 0.01986 0.47735 0.19734 0.46
3916 15.70032 1.58773 0.82488 0.02049 0.49305 0.19729 0.47
3794 16.47892 1.53961 0.82309 0.01973 0.47057 0.17396 0.47
5099 16.22064 1.13069 0.82412 0.01913 0.46939 0.18587 0.50
4697 16.31937 1.24008 0.82380 0.01919 0.46955 0.17864 0.49
3907 16.13835 1.59518 0.82372 0.02001 0.47747 0.18515 0.45
5008 16.39447 1.64728 0.82490 0.02130 0.48462 0.17151 0.48
5555 15.30904 1.76159 0.82921 0.02346 0.48453 0.19147 0.48
3707 16.19909 1.56494 0.82352 0.01979 0.47525 0.18353 0.46
4951 15.08157 1.35989 0.82570 0.02055 0.46864 0.19087 0.49
4971 17.00180 1.44727 0.82149 0.01925 0.45420 0.18233 0.47
3880 16.56977 1.44984 0.82262 0.01956 0.46168 0.17134 0.48
5489 16.93948 1.38063 0.82150 0.01905 0.46007 0.18115 0.49
4810 16.17162 0.73350 0.82423 0.01893 0.47462 0.18707 0.50
5039 16.76381 1.52856 0.82255 0.02004 0.45323 0.17835 0.47
3917 17.49573 1.49481 0.82019 0.01871 0.46387 0.19413 0.46
5557 14.04620 1.82392 0.82703 0.02088 0.47668 0.18434 0.47
4986 17.15370 1.33290 0.82095 0.01875 0.46354 0.18707 0.50
4786 14.85047 1.55482 0.82713 0.02146 0.46671 0.18420 0.47
4988 15.21918 1.62132 0.82668 0.02166 0.47042 0.18851 0.47
3946 15.37666 1.76311 0.82928 0.02357 0.49148 0.19262 0.48
5572 17.76448 0.47957 0.81895 0.01858 0.52441 0.19994 0.50
3994 16.65222 0.82660 0.82313 0.01876 0.44265 0.18601 0.50
4446 15.49813 1.53514 0.82492 0.02048 0.48989 0.19355 0.46
4476 16.54438 0.59011 0.82362 0.01876 0.44663 0.18641 0.50
